ts,scan_id,timeframe,level_type,level,touches,price,distance_atr,relation,event,atr,source_ts
2026-09-22T14:34:44.166333+00:00,20260922T143441.701979Z,15m,SUPPORT,85746.78,2,85777.09,0.0983,ABOVE,RETEST,308.36857143,1790079300
2026-09-22T14:34:44.166375+00:00,20260922T143441.701979Z,15m,RESISTANCE,85721.91,1,85777.09,0.1789,ABOVE,RETEST,308.36857143,1790049600
2026-09-22T14:34:44.166405+00:00,20260922T143441.701979Z,15m,RESISTANCE,85858.49,1,85777.09,0.264,BELOW,RETEST,308.36857143,1790045100
2026-09-22T14:34:44.166433+00:00,20260922T143441.701979Z,15m,RESISTANCE,85576.25,2,85777.09,0.6513,ABOVE,NONE,308.36857143,1790058600
2026-09-22T14:34:44.166472+00:00,20260922T143441.701979Z,15m,SUPPORT,85560.12,1,85777.09,0.7036,ABOVE,NONE,308.36857143,1790083800
2026-09-22T14:34:44.166500+00:00,20260922T143441.701979Z,15m,RESISTANCE,86199.22,3,85777.09,1.3689,BELOW,NONE,308.36857143,1790082000
2026-09-22T14:34:44.166527+00:00,20260922T143441.701979Z,15m,SUPPORT,85302.498,5,85777.09,1.539,ABOVE,NONE,308.36857143,1790065800
2026-09-22T14:34:44.166554+00:00,20260922T143441.701979Z,15m,SUPPORT,86266.36,1,85777.09,1.5866,BELOW,NONE,308.36857143,1790030700
2026-09-22T14:34:44.199925+00:00,20260922T143441.701979Z,5m,SUPPORT,85784.85571429,7,85777.09,0.028,BELOW,RETEST,276.97285714,1790079300
2026-09-22T14:34:44.199968+00:00,20260922T143441.701979Z,5m,SUPPORT,85912.34,1,85777.09,0.4883,BELOW,NONE,276.97285714,1790081400
2026-09-22T14:34:44.199999+00:00,20260922T143441.701979Z,5m,SUPPORT,85604.99,2,85777.09,0.6214,ABOVE,RETEST,276.97285714,1790083800
2026-09-22T14:34:44.200028+00:00,20260922T143441.701979Z,5m,RESISTANCE,85976.6,1,85777.09,0.7203,BELOW,RETEST,276.97285714,1790074800
2026-09-22T14:34:44.200070+00:00,20260922T143441.701979Z,5m,SUPPORT,86076.47,1,85777.09,1.0809,BELOW,NONE,276.97285714,1790085900
2026-09-22T14:34:44.200098+00:00,20260922T143441.701979Z,5m,RESISTANCE,86151.036,5,85777.09,1.3501,BELOW,NONE,276.97285714,1790084100
2026-09-22T14:34:44.200130+00:00,20260922T143441.701979Z,5m,SUPPORT,85307.72,1,85777.09,1.6946,ABOVE,NONE,276.97285714,1790065800
2026-09-22T14:34:44.200157+00:00,20260922T143441.701979Z,5m,RESISTANCE,86259.99,1,85777.09,1.7435,BELOW,NONE,276.97285714,1790070900
2026-09-22T14:49:54.216338+00:00,20260922T144953.595412Z,1h,RESISTANCE,86369.835,2,86033.36,0.593,BELOW,RETEST,567.45,1790064000
